id,account,total_appraised_value_2019,pct_value_change,new_owner_date,sq_ft,acreage,latitude,longitude,zip_code,neighborhood_code,neighborhood,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
14,50120000005,410686,9.999973216,2012-12-14,1476,0.1148,29.7556,-95.37855,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
16,50130000009,245100,8.884940027,2015-03-13,1052,0.1148,29.75533,-95.37896,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
16,50130000009,245100,8.884940027,2015-03-13,1052,0.1148,29.75533,-95.37896,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
16,50130000009,245100,8.884940027,2015-03-13,1052,0.1148,29.75533,-95.37896,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
18,50140000008,262020,15.57190494,1988-02-26,1636,0.1148,29.7547,-95.3791,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
18,50140000008,262020,15.57190494,1988-02-26,1636,0.1148,29.7547,-95.3791,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
18,50140000008,262020,15.57190494,1988-02-26,1636,0.1148,29.7547,-95.3791,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
20,50220000004,209871,9.999895174,2003-07-18,1188,0.1148,29.75495,-95.38103,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
20,50220000004,209871,9.999895174,2003-07-18,1188,0.1148,29.75495,-95.38103,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
20,50220000004,209871,9.999895174,2003-07-18,1188,0.1148,29.75495,-95.38103,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
21,50220000007,202420,-10.03555556,1988-01-02,1276,0.1148,29.75468,-95.38103,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
21,50220000007,202420,-10.03555556,1988-01-02,1276,0.1148,29.75468,-95.38103,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
21,50220000007,202420,-10.03555556,1988-01-02,1276,0.1148,29.75468,-95.38103,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
22,50240000010,83954,9.999737952,2003-05-04,1754,0.0878,29.75373,-95.381,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
22,50240000010,83954,9.999737952,2003-05-04,1754,0.0878,29.75373,-95.381,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
22,50240000010,83954,9.999737952,2003-05-04,1754,0.0878,29.75373,-95.381,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
24,50370000015,309229,18.48353762,2018-05-11,2546,0.0918,29.75559,-95.38192,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
24,50370000015,309229,18.48353762,2018-05-11,2546,0.0918,29.75559,-95.38192,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
24,50370000015,309229,18.48353762,2018-05-11,2546,0.0918,29.75559,-95.38192,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
25,50390000004,322102,10,2019-12-16,1608,0.109,29.75433,-95.38191,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
25,50390000004,322102,10,2019-12-16,1608,0.109,29.75433,-95.38191,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
25,50390000004,322102,10,2019-12-16,1608,0.109,29.75433,-95.38191,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
26,50410000004,346500,10,2016-06-24,1608,0.11,29.75558,-95.38281,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
26,50410000004,346500,10,2016-06-24,1608,0.11,29.75558,-95.38281,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
26,50410000004,346500,10,2016-06-24,1608,0.11,29.75558,-95.38281,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
